Energy_h	t01	t02	t03	t04	t05	t06	t07	t08	t09	t11	t12	t13	B0	B1	Num_spec_correction	Num_spec_unper	Num_spec_total
1.9894367886486916e-25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2.188380467513561e-24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4.1778172561622526e-24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6.167254044810945e-24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8.156690833459637e-24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.0146127622108328e-23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.2135564410757021e-23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.412500119940571e-23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.6114437988054404e-23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.8103874776703097e-23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2.0093311565351786e-23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2.208274835400048e-23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2.4072185142649172e-23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2.6061621931297862e-23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2.805105871994655e-23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3.004049550859524e-23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3.2029932297243935e-23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3.401936908589263e-23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3.600880587454132e-23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3.799824266319001e-23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3.99876794518387e-23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4.1977116240487393e-23	7.317899933941395e-05	-1.461338812937336e-05	-2.1813433017182728e-05	-6.074766666910804e-08	7.257971990357821e-08	3.160252350609662e-06	-7.91274763354837e-06	7.587525601860529e-07	0.000149611839190965	1.3632112365247897e-05	-6.938463042293026e-05	3.8757450037005154e-05	0.00018238210671430466	-1.699506802067721e-05	0.00016538703869362745	0.00040009917571855115	0.0005654862144121786
4.3966553029136086e-23	7.45964893543171e-05	-1.8516189626467307e-05	-2.9496319208472155e-05	-7.935283672366638e-08	1.2579624040912927e-07	3.6608755933898256e-06	-7.374316010444904e-06	1.2963183184687732e-06	4.5863234980810313e-05	2.0386183734463625e-05	-7.146397306085143e-05	4.224672478837046e-05	7.007653680528711e-05	-8.83106453801736e-06	6.124547226726975e-05	0.000578484532445383	0.0006397300047126528
4.595598981778478e-23	8.275330899190525e-05	-2.251335721002411e-05	-3.679277555733971e-05	-1.044533047480969e-07	1.8622722705704057e-07	4.065828774198561e-06	-7.472470269996496e-06	1.8180653022489402e-06	3.932587401159848e-05	2.6561746280159247e-05	-8.003114988413571e-05	4.41339027961588e-05	6.126624796489985e-05	-9.335500807817664e-06	5.193074715708219e-05	0.0007310377630503622	0.0007829685102074444
4.794542660643347e-23	9.154953162777334e-05	-2.6263575916849515e-05	-4.3642418260555754e-05	-1.308382280397964e-07	2.502107276837396e-07	4.328936874423815e-06	-7.544900674501097e-06	1.992424986863216e-06	3.515765119688021e-05	3.248054026137626e-05	-8.930542386247707e-05	4.6598769123410275e-05	5.5697022333678166e-05	-1.0226114477690545e-05	4.547090785598762e-05	0.0008695202540012309	0.0009149911618572185
4.993486339508216e-23	0.00010037396285942196	-2.982815827021565e-05	-5.024088446948876e-05	-1.5811826276890732e-07	3.177009092964679e-07	4.483775282479216e-06	-7.544118037669065e-06	1.4480069154635025e-06	3.197037631934273e-05	3.8311283264232315e-05	-9.868751930481146e-05	4.905387304164113e-05	5.08225432458615e-05	-1.1322362998938016e-05	3.9500180246923484e-05	0.0010001958684124994	0.001039696048659423
5.192430018373085e-23	0.0001089767494076472	-3.321803427872043e-05	-5.66582916913421e-05	-1.8587590681429856e-07	3.882803552662373e-07	4.550711497049745e-06	-7.464646196090209e-06	3.0670847163706876e-07	2.9498010606789624e-05	4.4104916119147844e-05	-0.00010791763860640456	5.1323863253026e-05	4.619361226542283e-05	-1.2488859234230732e-05	3.3704753031192105e-05	0.0011255635253316035	0.0011592682783627957
5.391373697237954e-23	0.00011724959306134651	-3.6426706564894314e-05	-6.292115140341891e-05	-2.1374877107221277e-07	4.6140967205209467e-07	4.545022204040329e-06	-7.314715687089989e-06	-9.59652137774345e-07	2.6790118702149424e-05	4.987013954753212e-05	-0.00011687189991511993	5.325962020633091e-05	4.121016907533858e-05	-1.3742140161256885e-05	2.7468028914081695e-05	0.0012467382253259422	0.001274206254240024
5.590317376102823e-23	0.0001250427143330347	-3.943194291817339e-05	-6.90236282120381e-05	-2.411792624155599e-07	5.362849048316748e-07	4.478378880386443e-06	-7.100698184937399e-06	-1.5355913850703227e-06	2.4513939230510336e-05	5.559373173651292e-05	-0.00012538429874371898	5.4779635539797315e-05	3.7238277386128395e-05	-1.5010931467408735e-05	2.222734591871966e-05	0.0013641200047780932	0.001386347350696813
5.789261054967692e-23	0.00013228784278657867	-4.2207961295153665e-05	-7.494458243472124e-05	-2.6769244056275185e-07	6.119323924385547e-07	4.361047737209177e-06	-6.8341798530664135e-06	-5.83723346335629e-07	2.2408483679332452e-05	6.124536331108776e-05	-0.00013336993944547792	5.5884420538696615e-05	3.4831167225719165e-05	-1.6240155595693563e-05	1.8591011630025602e-05	0.0014775898715440915	0.0014961808831741171
5.988204733832562e-23	0.000138862233509681	-4.472815364677281e-05	-8.065809435703599e-05	-2.92682699159994e-07	6.873100823945966e-07	4.202312523262897e-06	-6.523212510562602e-06	2.360959420715006e-06	1.9822241617072e-05	6.679488852137105e-05	-0.00014068977185847817	5.648496507188008e-05	3.373291393959409e-05	-1.7409918265227066e-05	1.6322995674367025e-05	0.0015869695225297737	0.0016032925182041407
6.187148412697431e-23	0.00014468502244380035	-4.696415296393384e-05	-8.612594026347452e-05	-3.155858688996208e-07	7.611612382970647e-07	4.0104234602311135e-06	-6.17756492700171e-06	7.203241305426133e-06	1.7909392288325695e-05	7.21996972466694e-05	-0.00014724744411450706	5.6600649909735377e-05	3.498599671277069e-05	-1.8447096958102298e-05	1.6538899754668394e-05	0.0016917321612423383	0.0017082710609970066
