Energy_h	t01	t02	t03	t04	t05	t06	t07	t08	t09	t11	t12	t13	B0	B1	Num_spec_correction	Num_spec_unper	Num_spec_total
3.978873577297383e-25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4.376760935027122e-24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8.355634512324505e-24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.233450808962189e-23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.6313381666919274e-23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2.0292255244216656e-23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2.4271128821514042e-23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2.825000239881142e-23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3.222887597610881e-23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3.6207749553406193e-23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4.018662313070357e-23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4.416549670800096e-23	1.772897585865847e-05	-3.026204187415921e-06	-6.574192663480025e-06	-5.027947945558013e-09	7.464539065781253e-09	1.5002158418001554e-06	-4.3944969993520835e-06	6.764612478784321e-06	3.685138610300526e-05	2.98825894213583e-06	-1.4464116131610792e-05	1.022336346192129e-05	4.885273302312039e-05	-1.2524937275536708e-06	4.7600239295566725e-05	0.00015842064960608365	0.00020602088890165038
4.8144370285298344e-23	2.284407470262324e-05	-4.968090570213249e-06	-1.0805497887417476e-05	-9.633700157111867e-09	1.8233050114370688e-08	2.2823512504193e-06	-5.247307967250493e-06	1.3728693575350282e-05	3.6272089965844386e-05	5.471374759593517e-06	-1.9087485929280367e-05	1.2349666548392388e-05	5.4114912419313244e-05	-1.2664446212944624e-06	5.284846779801878e-05	0.0002641811059750917	0.0003170295737731105
5.2123243862595724e-23	2.8534981490963954e-05	-6.9204733511396356e-06	-1.4817828200256612e-05	-1.5137750368062894e-08	3.14389942106304e-08	2.941019084435588e-06	-6.063308164109998e-06	1.898034971859914e-05	3.629894416844725e-05	8.065314494602401e-06	-2.43753727536483e-05	1.5070448775207191e-05	5.8969985990782263e-05	-1.2396094838387074e-06	5.7730376506943554e-05	0.00035810857559618253	0.0004158389521031261
5.61021174398931e-23	3.468231309783223e-05	-9.005475663642171e-06	-1.8914963770341368e-05	-2.179035601801314e-08	4.751848333159739e-08	3.5343620379596212e-06	-6.805850983335611e-06	2.2191027357523797e-05	3.755465163949822e-05	1.0920141758654439e-05	-3.023803101844665e-05	1.8030342486157312e-05	6.32617918428083e-05	-1.2875467736348992e-06	6.19742450691734e-05	0.0004496437357501315	0.0005116179808193049
6.008099101719048e-23	4.127825554072266e-05	-1.1250566100525395e-05	-2.317286607286094e-05	-2.9757883710193183e-08	6.679423883436986e-08	4.071327705014933e-06	-7.468837740964078e-06	2.2531642161152617e-05	3.8246269326138146e-05	1.4069956079681205e-05	-3.667360011273019e-05	2.119602049245291e-05	6.427226117380212e-05	-1.4076235405960748e-06	6.286463763320604e-05	0.0005412667323389813	0.0006041313699721874
6.405986459448787e-23	4.832092595291346e-05	-1.3661222534994267e-05	-2.7617978963843336e-05	-3.91939349762863e-08	8.95757998084495e-08	4.551608243701044e-06	-8.0497160611783e-06	1.965793676054656e-05	3.947414285024368e-05	1.7522337762581405e-05	-4.368280626340349e-05	2.4527967744875223e-05	6.2726078112221e-05	-1.6325007559468565e-06	6.109357735627415e-05	0.0006339589599844838	0.000695052537340758
